100	1500
68	82	80
33	10	-11
18	31	-28
17	97	29
77	11	-18
7	36	29
20	88	-39
53	66	100
60	75	43
56	41	-6
52	3	51
50	94	92
33	58	61
100	12	43
55	97	62
67	21	-40
4	75	40
73	66	-38
62	47	-42
11	26	-15
49	75	24
79	98	26
61	30	-34
65	85	19
90	47	78
77	94	39
77	66	37
22	45	94
21	66	73
100	20	-20
47	38	72
68	20	-44
89	92	-20
60	70	-35
11	96	-9
36	66	0
77	71	-8
17	30	73
79	26	45
87	97	91
10	76	-49
24	92	-19
14	80	60
50	69	19
49	45	-30
87	27	-44
14	78	41
86	73	88
10	6	-37
50	43	54
78	61	46
63	49	-34
29	79	-34
78	98	-6
91	39	78
15	95	34
58	82	-20
7	8	-37
95	38	-40
4	22	-39
64	37	-13
8	83	-2
71	44	-30
16	20	65
7	5	-15
72	94	-19
99	27	26
60	98	31
100	90	-6
24	96	-47
12	82	8
42	94	-48
91	25	6
24	40	-45
96	63	64
58	5	19
61	45	27
77	3	27
87	100	6
17	69	-49
11	98	-23
39	37	100
89	95	7
9	41	66
25	83	78
14	34	-15
51	64	30
18	70	64
48	40	3
56	49	12
11	95	-15
72	71	89
7	97	-18
57	65	40
10	19	-40
68	44	93
9	94	37
18	6	0
79	98	94
84	66	7
89	96	47
18	19	33
98	21	17
13	90	88
52	50	-18
59	75	97
90	50	13
62	29	87
40	1	59
9	38	95
61	83	44
51	69	21
24	56	2
97	69	29
11	67	37
7	8	48
74	63	-1
55	21	90
100	99	26
60	70	77
77	68	58
41	75	30
39	3	51
24	84	73
100	74	86
15	19	-38
73	14	-22
13	64	-48
90	29	12
51	62	77
29	23	-30
18	94	95
32	38	78
51	76	55
60	6	-5
62	84	-11
100	92	-29
72	12	-23
63	45	-15
31	95	15
46	93	67
56	61	77
90	19	75
90	26	70
13	45	50
99	5	79
71	63	24
4	75	1
99	45	35
59	65	-41
56	41	47
46	71	30
28	61	29
95	47	20
57	97	97
15	75	-20
11	58	-47
53	10	60
76	25	40
20	63	-5
28	25	-19
79	37	-44
43	69	93
4	34	97
46	56	-28
4	37	-49
71	81	-2
13	35	65
76	1	53
89	58	34
75	80	22
79	15	-20
93	31	-44
18	81	-8
100	30	95
62	82	22
53	95	29
54	13	83
40	95	5
37	66	-29
2	93	12
57	80	48
46	78	91
100	41	83
60	29	-49
18	40	71
46	19	-26
48	62	22
87	40	89
59	43	64
91	15	-13
17	52	16
54	75	30
39	61	-6
14	83	40
90	97	91
87	59	-1
72	43	57
72	93	4
77	97	-6
77	42	29
72	74	52
43	32	87
14	75	-5
89	96	-35
25	85	77
14	84	90
55	37	-43
16	96	75
72	90	48
41	75	2
55	82	-20
8	47	95
13	37	75
87	13	-50
82	84	39
74	29	-40
79	45	92
11	45	66
51	65	-20
100	29	19
74	51	-31
84	37	-28
48	56	-11
13	14	46
77	42	-50
11	36	13
72	56	27
18	80	-31
60	70	25
96	85	84
41	61	97
71	98	59
81	1	-40
60	66	54
51	47	91
59	3	61
25	3	34
86	56	89
93	5	13
11	85	15
77	34	41
68	17	-40
97	83	54
55	71	81
90	99	68
75	83	-20
15	3	-11
7	76	61
77	57	-33
51	30	-38
53	45	-23
53	23	88
77	98	58
10	95	-49
16	88	82
91	44	78
2	67	0
74	64	34
87	19	23
100	73	-11
67	38	95
89	40	56
60	14	77
1	30	-24
40	66	16
46	10	18
7	63	18
19	5	-47
100	39	22
77	24	83
96	26	-20
54	58	0
84	37	78
99	88	61
63	47	98
8	35	19
87	93	32
10	88	42
17	36	10
59	61	28
96	41	-35
33	62	60
7	95	14
72	57	89
48	25	4
48	50	25
12	71	-22
48	92	-30
11	57	-37
40	85	-48
88	83	81
82	79	-50
90	91	29
15	92	8
37	1	-34
24	40	74
54	12	93
46	30	78
2	1	71
79	95	91
97	80	-31
14	32	-41
59	71	40
54	3	56
16	39	46
85	38	-6
87	75	87
64	31	66
13	96	3
6	82	-11
2	76	-49
17	32	68
44	35	22
46	43	27
100	47	22
57	21	62
66	85	6
36	44	-22
99	1	-27
11	42	26
9	31	9
67	30	94
7	2	83
15	8	53
87	45	41
48	29	73
53	39	44
30	32	0
79	5	9
31	30	-23
59	85	36
90	84	100
58	98	-17
86	69	-29
42	26	58
89	29	16
53	63	26
99	95	86
78	75	68
33	51	-18
34	30	79
73	23	17
93	28	-31
4	44	66
70	41	-39
91	78	34
46	92	65
78	30	40
18	23	-5
46	31	8
54	80	22
100	64	10
93	62	47
51	40	-30
2	17	9
18	38	-37
25	3	73
74	39	86
6	40	54
84	8	92
46	63	2
47	45	44
34	75	8
16	63	21
68	23	-27
42	55	100
52	41	20
62	76	12
95	3	63
37	98	41
44	88	71
13	58	72
9	29	-18
100	23	-37
81	35	-27
13	69	-50
77	40	44
100	49	-13
93	79	-14
53	70	48
4	100	35
16	21	27
28	83	40
53	94	42
8	38	-47
96	19	28
14	32	93
90	21	99
12	92	65
23	1	-21
28	47	48
33	66	-5
62	29	100
39	99	24
59	50	35
77	16	14
54	25	48
33	52	-33
17	16	-33
48	75	-48
10	40	43
55	69	-35
7	52	-16
55	39	23
67	92	55
52	84	10
2	84	-17
54	81	20
28	5	-42
81	30	91
54	78	2
34	41	44
11	91	75
31	66	57
72	82	-3
4	63	-21
54	14	99
71	65	-13
72	16	-35
48	89	-42
94	5	76
82	64	12
61	98	57
24	47	71
2	78	38
54	79	-7
18	54	29
74	80	35
14	98	30
82	66	78
64	85	92
72	16	88
65	67	-14
57	22	29
18	84	71
2	85	16
54	80	-22
14	84	-7
87	48	62
43	32	41
72	23	54
14	31	67
57	82	-49
4	15	24
58	84	2
52	38	97
4	51	-31
14	39	55
70	31	3
73	22	50
62	69	-10
58	71	53
6	55	90
96	61	88
75	21	70
16	66	3
33	61	94
12	61	73
60	45	85
82	41	37
17	65	27
82	32	-26
72	89	-32
36	78	41
53	36	-15
20	28	-30
84	8	56
39	83	4
42	96	62
54	98	62
67	32	-6
99	84	-27
65	80	-13
95	22	18
91	55	13
24	65	85
56	5	93
48	19	100
50	62	26
87	57	48
13	57	61
42	62	78
59	57	-50
68	57	-14
98	5	-10
100	99	76
73	1	18
68	91	-46
60	13	15
54	48	-36
20	28	13
19	22	-29
22	85	-10
70	45	44
34	88	99
75	80	7
54	11	-25
44	88	38
20	15	99
52	23	37
84	95	41
92	61	36
41	47	84
72	23	24
54	55	1
55	40	0
68	62	33
99	21	-42
4	58	-16
53	61	41
48	63	39
81	5	1
55	34	-36
42	30	19
62	19	3
15	98	3
36	95	-5
50	8	-9
76	5	-23
96	35	82
16	37	31
36	34	8
77	92	13
91	31	-31
69	49	32
72	65	91
17	88	-45
18	94	48
8	98	84
100	83	-5
86	58	7
89	91	24
93	97	18
29	44	79
84	44	-28
52	3	52
59	37	49
68	46	40
49	22	81
48	44	26
93	45	-30
55	99	-45
69	32	24
9	52	-3
79	49	-21
78	66	44
67	61	45
98	49	40
37	35	-31
56	3	79
72	64	33
86	70	67
28	92	-4
50	45	32
76	71	-43
15	88	2
57	28	81
78	5	-12
18	93	87
24	19	-5
64	49	-25
42	95	60
84	43	0
98	49	88
17	49	94
87	27	47
63	88	43
72	11	45
94	34	19
23	21	23
62	32	-33
26	49	45
1	27	-42
55	38	11
54	11	-27
15	83	-27
51	78	-4
93	8	-26
28	3	61
33	71	-33
99	94	-4
20	97	60
54	71	-41
97	38	86
59	16	-2
18	74	31
24	99	94
65	69	30
74	12	85
6	43	4
43	27	15
73	82	29
1	27	32
60	46	65
4	37	-32
52	89	-20
18	73	-19
42	36	28
57	3	20
24	43	-36
79	75	-8
42	96	95
87	69	80
6	28	65
39	28	32
45	32	78
82	31	58
59	98	-49
4	44	68
7	39	45
52	25	84
2	19	43
84	65	-39
100	5	-28
76	32	-18
96	27	-10
81	67	-19
20	63	88
42	63	45
86	64	36
55	32	51
60	1	-42
77	69	-24
60	22	-19
6	96	66
64	88	40
91	66	0
48	27	-9
73	37	51
34	98	90
44	25	71
99	45	42
26	35	-44
25	61	-26
34	37	3
91	85	14
74	10	31
97	43	50
39	81	-11
92	69	68
54	5	35
20	34	52
18	63	93
22	66	21
9	35	38
4	21	-12
6	83	79
33	35	61
74	73	65
87	73	-49
81	67	33
17	11	28
11	91	-29
6	27	27
53	1	94
81	95	-49
46	69	30
73	94	-25
84	25	67
87	45	50
67	3	56
77	83	66
34	32	-31
48	82	45
63	45	-32
25	1	-21
10	57	37
78	35	3
2	25	38
90	32	27
18	76	-46
17	32	91
64	34	-39
90	39	-42
13	61	48
46	37	90
100	67	32
18	23	79
54	91	22
20	29	-13
72	24	8
17	88	-6
7	14	24
11	95	-11
20	30	-35
7	16	-45
55	15	25
56	81	30
64	47	84
29	88	-42
46	45	50
13	65	-11
39	22	88
50	20	-18
24	82	-39
23	83	-46
88	37	-14
78	66	33
54	90	13
40	64	-49
68	27	57
81	35	52
13	34	12
12	69	93
36	15	4
13	42	71
24	57	-18
14	67	19
7	92	66
88	80	-26
29	55	99
62	96	64
53	21	-17
52	97	79
17	58	-40
1	38	-48
36	10	16
58	39	58
25	21	-41
54	23	-13
42	61	93
46	3	94
87	36	-5
53	48	-12
77	17	74
69	49	-7
86	69	-4
68	43	5
17	32	-36
86	88	56
59	96	-20
74	93	-30
58	82	53
42	8	81
97	83	-50
70	25	60
54	55	10
52	51	1
33	65	4
50	41	89
18	51	2
56	66	48
62	67	-43
58	94	39
42	47	94
13	12	88
62	40	-11
46	51	26
51	85	53
37	3	0
14	97	55
78	25	-46
14	34	78
44	61	45
68	95	-22
7	36	81
82	75	51
56	21	-43
42	80	67
100	96	31
25	38	36
23	69	76
37	3	42
94	1	13
65	15	27
46	97	81
4	56	25
86	91	-37
41	75	39
71	83	-42
48	76	53
100	85	-48
93	94	-42
77	45	34
73	49	36
62	63	23
90	15	46
89	91	74
76	15	-37
59	56	51
46	66	-14
9	86	-37
57	41	99
52	41	1
14	3	64
89	44	56
50	36	53
34	1	-48
74	20	-40
4	27	14
14	99	15
42	91	88
99	56	-41
71	92	-50
62	64	-2
51	82	10
54	14	-33
59	50	80
46	28	51
52	37	-11
53	63	-13
72	98	-7
59	97	93
87	6	99
54	25	-8
72	89	7
20	99	72
26	38	-47
87	26	44
94	3	50
79	81	-40
46	31	50
35	66	-11
77	65	74
59	91	-16
12	30	11
81	44	37
29	71	-41
2	32	89
16	30	21
88	35	17
46	52	-39
52	55	44
4	14	23
91	8	5
1	43	74
93	50	-16
11	86	1
26	3	20
55	45	19
7	70	72
13	38	-40
52	30	83
50	24	45
51	22	95
99	31	38
99	34	66
65	47	51
52	75	21
61	83	76
29	44	29
53	3	-3
44	43	40
90	65	6
50	55	70
89	28	93
73	32	62
36	49	100
76	63	-42
72	33	-50
53	14	80
6	30	-38
48	85	-35
73	79	36
90	19	86
10	26	34
58	55	55
52	70	-5
84	67	23
58	80	-44
60	11	-10
4	86	-49
73	75	-33
100	32	99
10	64	11
45	38	11
99	85	2
73	8	-27
60	70	12
33	14	59
10	96	-1
55	95	49
61	83	45
36	64	95
52	81	-5
36	69	16
71	92	78
18	57	43
75	85	40
100	62	37
29	95	-44
41	45	-35
18	78	48
72	86	0
31	15	58
63	34	-17
89	43	33
20	64	-25
23	45	-4
26	47	-19
79	49	86
18	29	-14
15	38	38
92	43	-27
97	94	43
57	67	0
4	31	-46
11	1	47
20	92	41
70	69	-21
26	75	66
11	81	59
54	69	37
18	85	0
50	36	50
58	55	46
1	80	65
76	92	1
10	98	-46
73	39	-39
100	3	-18
9	88	-33
39	92	-43
44	92	14
29	80	72
55	70	87
16	84	-6
23	38	42
6	21	88
9	27	-47
93	36	45
9	24	-4
87	59	56
11	91	2
46	75	91
84	34	61
55	26	-21
1	22	-12
65	19	1
54	80	99
13	66	65
65	85	66
33	73	82
52	12	-6
94	98	12
99	83	58
37	69	91
60	3	11
2	94	90
13	10	-33
46	83	-23
91	64	60
56	63	-29
29	34	63
91	84	0
59	49	28
71	85	85
90	42	-41
4	77	-11
91	5	56
11	14	8
51	26	-50
65	8	75
4	3	-1
17	73	17
20	61	41
40	92	0
54	76	2
43	80	73
87	38	-7
37	30	46
87	16	-49
57	34	-32
10	19	74
91	21	-24
29	96	-28
68	80	-30
88	8	-41
33	31	95
20	89	75
76	63	-32
59	45	-47
44	43	-32
73	71	77
7	73	1
26	5	-42
11	76	32
72	88	54
64	41	38
69	35	83
50	89	72
1	61	48
17	32	78
74	83	40
44	25	-4
55	85	-42
88	41	94
48	96	-37
88	22	-20
63	21	-23
62	69	-33
11	56	60
62	75	66
11	1	94
75	66	-8
52	79	-46
13	36	73
72	21	-38
7	21	45
25	98	65
76	95	-24
79	63	-22
68	98	52
97	22	14
58	28	-13
99	23	66
29	65	68
51	26	-15
7	63	-23
11	49	-27
7	38	-50
16	79	6
91	37	98
7	59	-39
54	63	-34
10	43	-23
58	27	42
86	29	14
37	1	-20
66	85	39
31	19	-4
17	46	-15
94	83	43
53	5	89
20	38	10
33	84	-22
7	65	-37
54	76	-32
52	5	-13
77	99	77
88	67	59
33	36	53
82	25	98
46	70	91
13	23	6
58	1	67
77	63	1
63	34	-9
14	85	-24
87	98	87
36	75	52
97	41	99
33	98	29
12	25	25
86	91	39
100	15	-4
55	84	-28
11	26	-33
93	36	17
2	52	9
42	5	14
33	76	-7
97	41	-18
91	95	-15
59	15	37
39	44	-46
68	8	-25
58	71	79
64	3	82
17	91	68
89	25	35
33	71	-10
59	52	-38
17	29	23
15	80	33
91	80	-7
72	34	-16
7	24	-38
42	83	-37
3	38	28
29	26	63
100	22	68
29	69	-32
7	61	73
58	5	-11
93	89	40
4	75	-15
57	27	-19
18	79	-8
39	65	-24
84	67	-34
93	82	44
48	41	-39
6	64	-31
92	27	25
88	3	-16
20	98	0
46	47	64
54	44	86
78	1	43
80	38	2
70	21	60
4	19	14
90	5	-12
71	56	29
42	5	58
14	84	23
72	83	5
15	35	96
47	22	-10
96	15	10
10	43	-48
96	37	-44
51	8	-8
84	49	-4
74	61	22
48	6	56
91	56	49
68	49	60
93	69	16
13	74	76
94	67	-21
53	89	-39
17	47	-7
55	45	61
74	67	92
99	78	38
74	81	79
14	37	-14
69	5	57
46	29	96
23	30	58
87	84	-20
88	27	68
63	61	-40
42	95	-9
13	79	48
87	78	-4
56	38	-6
56	81	78
78	26	97
51	58	81
53	50	-26
77	71	-50
78	47	61
58	98	74
23	92	23
1	85	-1
51	57	54
46	95	40
72	87	70
62	29	14
84	32	11
11	3	91
91	39	74
34	38	76
12	39	51
58	71	62
18	25	41
6	81	-8
71	80	-47
53	15	-13
7	79	73
86	22	-39
6	37	16
6	61	4
15	25	96
55	65	-41
72	68	7
56	26	86
36	14	34
18	14	-2
36	31	82
62	89	97
54	86	7
59	55	99
57	95	-38
81	15	-9
13	19	69
89	55	14
13	19	-47
36	34	-32
93	38	-4
29	65	85
73	12	-37
19	25	41
23	47	-43
90	37	59
62	3	95
14	3	94
77	28	1
31	23	73
6	57	85
93	73	85
36	89	48
17	29	-21
87	34	9
17	92	-12
57	94	-5
20	83	-1
50	81	-45
29	34	-5
53	38	-21
50	39	-13
77	44	27
44	21	97
43	5	92
74	35	86
9	10	-22
44	32	30
15	43	37
54	5	-2
73	45	49
50	66	-8
4	37	4
16	84	80
57	25	58
40	21	17
74	88	-35
57	3	-44
59	62	60
17	44	41
36	44	-7
96	75	-31
44	27	-34
40	78	55
55	5	35
29	56	98
11	20	-1
36	61	-30
16	38	81
15	85	12
74	70	-39
2	47	-20
46	82	-45
70	27	-30
93	58	-40
18	12	95
46	29	2
93	27	-23
91	95	75
29	57	-1
92	22	90
37	47	21
49	75	6
100	32	88
18	54	-3
55	71	75
2	66	57
28	38	-3
87	63	96
100	59	-18
52	3	43
33	67	86
96	41	74
90	67	33
79	84	-43
54	95	32
31	22	51
24	85	33
94	1	45
24	32	79
94	79	-32
97	76	-49
74	65	50
63	78	32
79	26	-6
68	25	84
44	22	17
25	61	10
71	75	9
40	47	1
9	16	-39
48	66	66
73	15	-40
42	39	61
70	67	37
60	71	-24
63	5	-41
93	36	38
89	82	16
2	86	75
33	8	42
17	10	51
37	47	37
46	27	79
53	70	80
70	80	-13
15	66	47
65	92	75
100	21	71
93	38	60
59	58	53
29	92	-3
89	56	97
18	54	-41
12	97	93
44	66	86
